dataset_name,Robot,Robot Morphology,Control Frequency,State Space,Action Space,Action Definition,# RGB Cams,# Depth Cams,# Wrist Cams,OCTO,OpenVLA,HPT,Crossformer
RT-1 Robot Action,Google Robot,Mobile Manipulator,3,"base_pose_tool_reached (7)
gripper closed (1)
gripper closedness commanded (1)
height to bottom (1) 
orientation start (4)
rotation delta to go (3)",EEF Position,"base displacement (2)
base displacement rotation (1)
EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",1,1,0,,,,
QT-Opt,Kuka iiwa,Single Arm,10,"base pose tool reached (7)
gripper closed (1)
gripper closedness commanded (1)
height to bottom (1) ",EEF Position,"base displacement (2)
base displacement rotation (1)
EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",1,0,0,,,,
Berkeley Bridge,WidowX,Single Arm,5,"EEF xyz (3), 
EEF rpy (3), 
gripper state (1) ",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",4,1,1,,,,
Freiburg Franka Play,Franka,Single Arm,15,"EEF xyz (3), 
EEF rpy (3), 
gripper width (1), 
joint positions (7), 
gripper action (1)",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",2,2,2,,,,
USC Jaco Play,Jaco 2,Single Arm,10,"joint pos (8) (last 2 elements of this that correspond to the gripper joints)
EEF cartesian pos (7)
EEF cartesian velocity (6)",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",2,0,1,,,,
Berkeley Cable Routing,Franka,Single Arm,10,"EEF Pose (7)
",EEF velocity,"EEF delta xyz (3)
EEF delta rpy (3)",3,0,2,,,,
Roboturk,Sawyer,Single Arm,10,,EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",2,1,0,,,,
NYU VINN,Hello Stretch,Mobile Manipulator,3,,EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",1,0,1,,,,
Austin VIOLA,Franka,Single Arm,20,"EEF pose Homogeneous martix (16)
gripper_states (1)
joint pos (7)",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",2,0,1,,,,
Berkeley Autolab UR5,UR5,Single Arm,5,"joint pos (6)
EEF xyz (3)
EEF quaternion (4)
gripper state (1)
action_blocked (1)",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",2,1,1,,,,
TOTO Benchmark,Franka,Single Arm,30,joint pos (7),Joint position ,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",1,0,0,,,,
Language Table,xArm,Single Arm,10,"effector_target_translation (2)
effector_translation (2)",EEF Position,EEF xy (2),1,0,0,,,,
Columbia PushT Dataset,UR5,Single Arm,10,EEF xy (2),EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",5,0,1,,,,
Stanford Kuka Multimodal,Kuka iiwa => Panda,Single Arm,20,"joint pos (7)
gripper open/close (1)",EEF Position,"EEF position (3) 
gripper open/close (1)
",1,0,0,,,,
NYU ROT,xArm,Single Arm,3,"EEF xyz (3)
EEF rpy (3)
gripper open/close (1)",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",1,0,0,,,,
Stanford HYDRA,Franka,Single Arm,10,"EEF xyz (3)
EEF quaternion (4)
EEF rpy (3)
joint pos (7)
joint vel (7)
gripper state (3)",EEF Position,"EEF delta xyz (3)
EEF delta rpy (3)
gripper closedness action (1)",2,0,1,,,,
